bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,When philosophical nuance matters: safeguarding consciousness research from restrictive assumptions,Marius Usher and Niccolò Negro and H. Jacobson and Naotsugu Tsuchiya,Frontiers in Psychology,2023,Connected Papers,null,14,"In this paper, we revisit the debate surrounding the Unfolding Argument (UA) against causal structure theories of consciousness (as well as the hard-criteria research program it prescribes), using it as a platform for discussing theoretical and methodological issues in consciousness research. Causal structure theories assert that consciousness depends on a particular causal structure of the brain. Our claim is that some of the assumptions fueling the UA are not warranted, and therefore we should reject the methodology for consciousness science that the UA prescribes. First, we briefly survey the most popular philosophical positions in consciousness science, namely physicalism and functionalism. We discuss the relations between these positions and the behaviorist methodology that the UA assumptions express, despite the contrary claim of its proponents. Second, we argue that the same reasoning that the UA applies against causal structure theories can be applied to functionalist approaches, thus proving too much and deeming as unscientific a whole range of (non-causal structure) theories. Since this is overly restrictive and fits poorly with common practice in cognitive neuroscience, we suggest that the reasoning of the UA must be flawed. Third, we assess its philosophical assumptions, which express a restrictive methodology, and conclude that there are reasons to reject them. Finally, we propose a more inclusive methodology for consciousness science, that includes neural, behavioral, and phenomenological evidence (provided by the first-person perspective) without which consciousness science could not even start. Then, we extend this discussion to the scope of consciousness science, and conclude that theories of consciousness should be tested and evaluated on humans, and not on systems considerably different from us. Rather than restricting the methodology of consciousness science, we should, at this point, restrict the range of systems upon which it is supposed to be built.",,10.3389/fpsyg.2023.1306023,https://www.semanticscholar.org/paper/e8dcd1a01b0f7bf697c6185bd4f79b59f48fdb2c,,,,,,,,,"45707,83006","45707,83006",GuiSales404,,Rejected,
,Falsification and consciousness,Johannes Kleiner and Erik P. Hoel,Neuroscience of Consciousness,2020,Connected Papers,null,2021,"Abstract The search for a scientific theory of consciousness should result in theories that are falsifiable. However, here we show that falsification is especially problematic for theories of consciousness. We formally describe the standard experimental setup for testing these theories. Based on a theory’s application to some physical system, such as the brain, testing requires comparing a theory’s predicted experience (given some internal observables of the system like brain imaging data) with an inferred experience (using report or behavior). If there is a mismatch between inference and prediction, a theory is falsified. We show that if inference and prediction are independent, it follows that any minimally informative theory of consciousness is automatically falsified. This is deeply problematic since the field’s reliance on report or behavior to infer conscious experiences implies such independence, so this fragility affects many contemporary theories of consciousness. Furthermore, we show that if inference and prediction are strictly dependent, it follows that a theory is unfalsifiable. This affects theories which claim consciousness to be determined by report or behavior. Finally, we explore possible ways out of this dilemma.",,10.1093/nc/niab001,https://www.semanticscholar.org/paper/697586e9404b69bebbad312836ba200fde79d21d,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Rejected,
,Predictive processing as a systematic basis for identifying the neural correlates of consciousness,J. Hohwy and A. Seth,Philosophy and the Mind Sciences,2020,Connected Papers,null,null,"The search for the neural correlates of consciousness is in need of a systematic, principled foundation that can endow putative neural correlates with greater predictive and explanatory value. Here, we propose the predictive processing framework for brain function as a promising candidate for providing this systematic foundation. The proposal is motivated by that framework’s ability to address three general challenges to identifying the neural correlates of consciousness, and to satisfy two constraints common to many theories of consciousness. Implementing the search for neural correlates of consciousness through the lens of predictive processing delivers strong potential for predictive and explanatory value through detailed, systematic mappings between neural substrates and phenomenological structure. We conclude that the predictive processing framework, precisely because it at the outset is not itself a theory of consciousness, has significant potential for advancing the neuroscience of consciousness.",,10.31234/osf.io/nd82g,https://www.semanticscholar.org/paper/5ba5d0b9f511c1d763bafe8a9d4c74fd8e2dbca8,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Rejected,
,The Fogees system for forecasting particulate matter concentrations in urban areas,Krzysztof Brzozowski and Łukasz Drąg and Lucyna Brzozowska,Environmental Modelling & Software,2025,Science@Direct,106205,183,"Air quality forecasting requires appropriate models and data sources. The Fogees system presented in this paper enables mapping, evaluation and forecasting of the level of PMx pollution in the air, for urban and suburban areas. Input data were downloaded from the Meteoblue service, the GIS database and – in the case of integration with existing measurement systems – also from local air quality monitoring stations. The system uses a diagnostic model to determine the velocity field and a Lagrange model to describe pollution dispersion. The system has an autocalibration model and uses proprietary algorithms to estimate emissions from domestic heating, transport and background pollution levels. Modular design and parallel computation facilitate simultaneous calculation of forecasts for existing emission conditions and calculations for alternative emission conditions. The system permits forecasting for the next hour and for several consecutive hours. The validation results confirm that the system reliable forecasting of PM concentrations.",,https://doi.org/10.1016/j.envsoft.2024.106205,https://www.sciencedirect.com/science/article/pii/S1364815224002664,,,"Air pollution, Forecast, Particulate matter, PM, Parallel computations, Autocalibration",,1364-8152,,,,"45707,82874","45707,82874",GuiSales404,,Rejected,
,Implementation and evaluation of an additional GPT-4-based reviewer in PRISMA-based medical systematic literature reviews,Assaf Landschaft and Dario Antweiler and Sina Mackay and Sabine Kugler and Stefan Rüping and Stefan Wrobel and Timm Höres and Hector Allende-Cid,International Journal of Medical Informatics,2024,Science@Direct,105531,189,"Background
PRISMA-based literature reviews require meticulous scrutiny of extensive textual data by multiple reviewers, which is associated with considerable human effort.
Objective
To evaluate feasibility and reliability of using GPT-4 API as a complementary reviewer in systematic literature reviews based on the PRISMA framework.
Methodology
A systematic literature review on the role of natural language processing and Large Language Models (LLMs) in automatic patient-trial matching was conducted using human reviewers and an AI-based reviewer (GPT-4 API). A RAG methodology with LangChain integration was used to process full-text articles. Agreement levels between two human reviewers and GPT-4 API for abstract screening and between a single reviewer and GPT-4 API for full-text parameter extraction were evaluated.
Results
An almost perfect GPT–human reviewer agreement in the abstract screening process (Cohen’s kappa > 0.9) and a lower agreement in the full-text parameter extraction were observed.
Conclusion
As GPT-4 has performed on a par with human reviewers in abstract screening, we conclude that GPT-4 has an exciting potential of being used as a main screening tool for systematic literature reviews, replacing at least one of the human reviewers.",,https://doi.org/10.1016/j.ijmedinf.2024.105531,https://www.sciencedirect.com/science/article/pii/S1386505624001941,,,"Systematic literature review, PRISMA, GPT-4 API, AI-based reviewer",,1386-5056,,,,"45707,82874","45707,82874",GuiSales404,,Rejected,
,"A comprehensive overview of topic modeling: Techniques, applications and challenges",Mustapha Hankar and Mohammed Kasri and Abderrahim Beni-Hssane,Neurocomputing,2025,Science@Direct,129638,628,"The growing need of gaining valuable information from large collections of text data has attracted a considerable interest from researchers in the field of natural language processing (NLP) and machine learning. Topic modeling is an unsupervised NLP technique that aims to extract hidden themes within a corpus of textual documents. This paper provides a thorough and comprehensive review of topic modeling techniques from classical methods such as latent sematic analysis to most cutting-edge neural approaches and transformer-based methods. We also introduce topic modeling applications in various domains such as text classification, bioinformatics and sentiment analysis. Real-world case studies are examined to show the versatility of topic modeling in discovering hidden structures within text and unstructured data to facilitate the process of knowledge discovery. The authors also address current challenges facing topic modeling such as interpretability and scalability, and discuss future research directions. This review aims to provide both academic researchers and practitioners with a good understanding of topic modeling techniques, applications, datasets, and research trends.",,https://doi.org/10.1016/j.neucom.2025.129638,https://www.sciencedirect.com/science/article/pii/S0925231225003108,,,"Topic modeling, Review, NLP, Text mining, LDA",,0925-2312,,,,"45707,82874","45707,82874",GuiSales404,,Rejected,
,Semantic-Driven Topic Modeling Using Transformer-Based Embeddings and Clustering Algorithms,Melkamu Abay Mersha and Mesay {Gemeda yigezu} and Jugal Kalita,Procedia Computer Science,2024,Science@Direct,121-132,244,"Topic modeling is a powerful technique to discover hidden topics and patterns within a collection of documents without prior knowledge. Traditional topic modeling and clustering-based techniques encounter challenges in capturing contextual semantic information. This study introduces an innovative end-to-end semantic-driven topic modeling technique for the topic extraction process, utilizing advanced word and document embeddings combined with a powerful clustering algorithm. This semantic-driven approach represents a significant advancement in topic modeling methodologies. It leverages contextual semantic information to extract coherent and meaningful topics. Specifically, our model generates document embeddings using pre-trained transformer-based language models, reduces the dimensions of the embeddings, clusters the embeddings based on semantic similarity, and generates coherent topics for each cluster. Compared to ChatGPT and traditional topic modeling algorithms, our model provides more coherent and meaningful topics.",,https://doi.org/10.1016/j.procs.2024.10.185,https://www.sciencedirect.com/science/article/pii/S1877050924029867,,,"Topic Modeling, Semantic, Cluster, Transformer-Based Embeddings, Transformer, Topic Extraction, Semantic-Driven, Deep Learning",,1877-0509,,6th International Conference on AI in Computational Linguistics,,"45707,82874","45707,82874",GuiSales404,,Rejected,
,Multi-spectral color vision fusion jointly with two-stream feature interaction and color transformation network,Zhaisheng Ding and Haiyan Li and Dongming Zhou and Yanyu Liu and Ruichao Hou,Digital Signal Processing,2023,Science@Direct,103875,133,"To utilize the complementary information and color vision fidelity in multispectral fusion task, a robust color vision fusion framework is proposed to provide a promising informative fusion result. Specifically, the proposed fusion framework is separated into two stages: the first image fusion stage and the second color transformation stage. The first stage is a two-stream feature interactional network via common and inherent features extraction modules, which obtains the suboptimal gray fused image retaining rich textural details and highlighting the thermal targets. After generating the suboptimal results, the second color transformation stage is implemented to transfer the color cues from the visible modal to the fused result, which ensures the fused results are consistent to natural visible light image in color appearance and keep a steady brightness and high fidelity. Moreover, the proposed colorization sub-network boosts the gray-domain fusion methods on preserving color information. The experimental results illustrate the superiority of the proposed method over state-of-the-art methods in both subjective and objective evaluation.",,https://doi.org/10.1016/j.dsp.2022.103875,https://www.sciencedirect.com/science/article/pii/S1051200422004924,,,"Multi-spectral fusion, Color vision, Deep learning, Color transfer",,1051-2004,,,,"45707,82874","45707,82874",GuiSales404,,Rejected,
,Aspect-level recommendation fused with review and rating representations,Heng-Ru Zhang and Ling Lin and Fan Min,Data & Knowledge Engineering,2025,Science@Direct,102417,,"Review contains user opinions about different aspects of an item, which is essential data for aspect-level recommendation. Most existing aspect-level recommendation algorithms are concerned with the degree to which user and item aspects match. However, even if an item is extremely popular due to its high quality, it may only partially match the aspects of a user. A tolerant user may like the item, whereas a strict user may dislike it. This implies that these works disregard the personalized behavior patterns of the user. In this paper, we propose a new Aspect-level Recommendation model fused with Review and Rating, namely ARRR, to address the recommendation bias. First, we introduce rating to explore user behavior patterns and item quality. Then, we present a personalized attention mechanism that generates a set of aspect-level user or item representations from reviews. Finally, we obtain comprehensive user or item representations by combining rating- and review-based representations. In the experiments, the proposed model is compared with seven state-of-the-art recommendation algorithms on seven datasets. The results show that our model outperforms on seven metrics. The source code of ARRR is available at https://github.com/alinn00/ARRR.",,https://doi.org/10.1016/j.datak.2025.102417,https://www.sciencedirect.com/science/article/pii/S0169023X25000126,,,"Aspect-level recommendation, Personalized behavior pattern, Representation learning, Review and rating",,0169-023X,,,,"45707,82874","45707,82874",GuiSales404,,Rejected,
,Development of scheduling methodology in a multi-machine flexible manufacturing system without tool delay employing flower pollination algorithm,Padma Lalitha Mareddy and Sivarami Reddy Narapureddy and Venkata Ramamurthy Dwivedula and Prahlada Rao Karanam,Engineering Applications of Artificial Intelligence,2022,Science@Direct,105275,115,"This paper addresses machines, automated guided vehicles (AGVs), tool transporter (TT), and tools concurrent scheduling in a multi-machine flexible manufacturing system (FMS) for makespan minimization. The fewest number of copies of each tool type is employed to prevent tool delays, and job and tool shift times between machines are taken into account. The tools are placed in a central tool magazine (CTM), which shares and serves them to many machines to cut down the price of duplicating the tools in each machine. This simultaneous scheduling problem is challenging to solve because it entails determining the fewest tool copies of each tool kind without tool delay, assigning AGVs and tool copies to job-operations (jb-ons), ordering jb-ons on machines, and related trip operations such as deadheading and loaded flight times for both TT and AGVs. This paper uses a mixed-integer nonlinear programming (MINLP) framework to present the problem, and a flower pollination algorithm (FPA) is employed to solve it. For verification, a manufacturing company’s industrial problem is employed. The results show that employing two copies each for two tool types and one copy each for the remaining tool types causes no tool delay, reduction in makespan and cost, and the FPA outperforms the Jaya algorithm.",,https://doi.org/10.1016/j.engappai.2022.105275,https://www.sciencedirect.com/science/article/pii/S0952197622003311,,,"Scheduling, FMS, Flower pollination algorithm, Makespan, Tool transporter, No tool delay",,0952-1976,,,,"45707,82874","45707,82874",GuiSales404,,Rejected,
