task,input,y,y_hat
"Marcy wondered about the kids. She had been in the kitchen and hadn't heard them in awhile. Usually, when the kids were quiet, they were getting into something. Marcy looked in the bedrooms and didn't see them.
Which of these fragments concludes the story in a coherent way? 
1. She found them in the living room reading and was relieved. 
2. The children were in the kitchen eating lunch.","Marcy wondered about the kids. She had been in the kitchen and hadn't heard them in awhile. Usually, when the kids were quiet, they were getting into something. Marcy looked in the bedrooms and didn't see them.
Which of these fragments concludes the story in a coherent way? 
1. She found them in the living room reading and was relieved. 
2. The children were in the kitchen eating lunch.",1,"1 
"
"Juan wanted to be a luchador. He grew up watching them on television. He practiced every day in the basement. Eventually he got added to small shows.
Which of these fragments concludes the story in a coherent way? 
1. Juan decided that being  luchador was a stupid aspiration. 
2. Juan was very successful eventually.","Juan wanted to be a luchador. He grew up watching them on television. He practiced every day in the basement. Eventually he got added to small shows.
Which of these fragments concludes the story in a coherent way? 
1. Juan decided that being  luchador was a stupid aspiration. 
2. Juan was very successful eventually.",2,"2 
"
"A man ordered pancakes in a diner from the server. She brought him a plate of pancakes minutes later. The man complained that the pancakes were too thick. The server brought them back to the cook.
Which of these fragments concludes the story in a coherent way? 
1. The cook praised him. 
2. The cook decided to remake the pancakes.","A man ordered pancakes in a diner from the server. She brought him a plate of pancakes minutes later. The man complained that the pancakes were too thick. The server brought them back to the cook.
Which of these fragments concludes the story in a coherent way? 
1. The cook praised him. 
2. The cook decided to remake the pancakes.",2,"2 
"
"Gina was using a restroom at a gas station. She went to wash her hands, but there was no soap. She looked in the cabinet under the sink hoping to find some. There was no soap there either.
Which of these fragments concludes the story in a coherent way? 
1. Gina stole al the soap that was in the bathroom. 
2. So she had to settle for rinsing her hands off.","Gina was using a restroom at a gas station. She went to wash her hands, but there was no soap. She looked in the cabinet under the sink hoping to find some. There was no soap there either.
Which of these fragments concludes the story in a coherent way? 
1. Gina stole al the soap that was in the bathroom. 
2. So she had to settle for rinsing her hands off.",2,"2 
"
"Sam's parents were out for the weekend. He decided to host a party. Many people came. The partiers ended up trashing the house.
Which of these fragments concludes the story in a coherent way? 
1. Sam's parents were upset they had missed the fun. 
2. Sam was in real trouble.","Sam's parents were out for the weekend. He decided to host a party. Many people came. The partiers ended up trashing the house.
Which of these fragments concludes the story in a coherent way? 
1. Sam's parents were upset they had missed the fun. 
2. Sam was in real trouble.",2,"2 
"
"Gina whispered to Mary in detention. The girls giggled together. Gina could tell the teacher wasn't pleased. They continued to whisper.
Which of these fragments concludes the story in a coherent way? 
1. The teacher told them to stop talking. 
2. The teacher joined their conversation.","Gina whispered to Mary in detention. The girls giggled together. Gina could tell the teacher wasn't pleased. They continued to whisper.
Which of these fragments concludes the story in a coherent way? 
1. The teacher told them to stop talking. 
2. The teacher joined their conversation.",1,"1 
"
"Bob's stomach was really bothering him after the big meal. A friend he had dined with called to say she was feeling ill, too. They decided the seafood they'd eaten had been bad. Sometime later, Bob finally threw up the contents of his stomach.
Which of these fragments concludes the story in a coherent way? 
1. Bob will be careful that he never eats at that restaurant again. 
2. Bob's decision to embezzle from his employer was a mistake.","Bob's stomach was really bothering him after the big meal. A friend he had dined with called to say she was feeling ill, too. They decided the seafood they'd eaten had been bad. Sometime later, Bob finally threw up the contents of his stomach.
Which of these fragments concludes the story in a coherent way? 
1. Bob will be careful that he never eats at that restaurant again. 
2. Bob's decision to embezzle from his employer was a mistake.",1,"1 
"
"Abigail keeps a strict schedule. She takes a walk in the morning and at night. She walks for about 30 minutes at a time around the neighborhood. Sometimes she even takes her dog Dexter.
Which of these fragments concludes the story in a coherent way? 
1. And so Abigail was able to lose a lot of weight. 
2. Abigail climbed off her wheelchair and onto the bed.","Abigail keeps a strict schedule. She takes a walk in the morning and at night. She walks for about 30 minutes at a time around the neighborhood. Sometimes she even takes her dog Dexter.
Which of these fragments concludes the story in a coherent way? 
1. And so Abigail was able to lose a lot of weight. 
2. Abigail climbed off her wheelchair and onto the bed.",1,"2 
"
"Ryan was at a park. And he saw a little girl holding a balloon. As he was leaving the park, he saw the same balloon stuck in a tree. He climbed the tree to retrieve the balloon.
Which of these fragments concludes the story in a coherent way? 
1. Ryan then popped the balloon on purpose. 
2. Ryan then found the girl and gave her the balloon she lost.","Ryan was at a park. And he saw a little girl holding a balloon. As he was leaving the park, he saw the same balloon stuck in a tree. He climbed the tree to retrieve the balloon.
Which of these fragments concludes the story in a coherent way? 
1. Ryan then popped the balloon on purpose. 
2. Ryan then found the girl and gave her the balloon she lost.",2,"2 
"
"Jess hated egg salad. When her friend's mother served it, she knew she had to eat it. Just as she was about to take a bite the family dog walked by. No one was looking so she lowered it towards the dog.
Which of these fragments concludes the story in a coherent way? 
1. The dog happily ate the salad. 
2. Jess decided to make egg salad.","Jess hated egg salad. When her friend's mother served it, she knew she had to eat it. Just as she was about to take a bite the family dog walked by. No one was looking so she lowered it towards the dog.
Which of these fragments concludes the story in a coherent way? 
1. The dog happily ate the salad. 
2. Jess decided to make egg salad.",1,"1 
"
